date	price
2023-01-01	16540.69
2023-01-02	16615.97
2023-01-03	16674.34
2023-01-04	16677.65
2023-01-05	16855.17
2023-01-06	16832.10
2023-01-07	16960.23
2023-01-08	16950.86
2023-01-09	17074.62
2023-01-10	17194.91
2023-01-11	17436.90
2023-01-12	17996.83
2023-01-13	18866.81
2023-01-14	19941.78
2023-01-15	21019.21
2023-01-16	20853.23
2023-01-17	21175.34
2023-01-18	21156.78
2023-01-19	20726.84
2023-01-20	21081.67
2023-01-21	22705.83
2023-01-22	22771.02
2023-01-23	22736.66
2023-01-24	22984.87
2023-01-25	22610.01
2023-01-26	23180.42
2023-01-27	23024.75
2023-01-28	23082.86
2023-01-29	23022.23
2023-01-30	23797.46
2023-01-31	22840.39
2023-02-01	23137.32
2023-02-02	23725.16
2023-02-03	23539.68
2023-02-04	23451.58
2023-02-05	23340.35
2023-02-06	22946.29
2023-02-07	22786.48
2023-02-08	23294.91
2023-02-09	22947.51
2023-02-10	21820.89
2023-02-11	21630.13
2023-02-12	21889.43
2023-02-13	21779.87
2023-02-14	21807.83
2023-02-15	22220.07
2023-02-16	24307.88
2023-02-17	23756.91
2023-02-18	24628.82
2023-02-19	24642.79
2023-02-20	24284.48
2023-02-21	24786.67
2023-02-22	24417.39
2023-02-23	24146.10
2023-02-24	23951.11
2023-02-25	23172.29
2023-02-26	23157.04
2023-02-27	23541.12
2023-02-28	23518.12
2023-03-01	23155.54
2023-03-02	23634.33
2023-03-03	23464.34
2023-03-04	22367.43
2023-03-05	22348.33
2023-03-06	22421.89
2023-03-07	22415.11
2023-03-08	22217.21
2023-03-09	21712.65
2023-03-10	20376.32
2023-03-11	20195.23
2023-03-12	20521.56
2023-03-13	22095.71
2023-03-14	24178.96
2023-03-15	24758.77
2023-03-16	24470.88
2023-03-17	25161.27
2023-03-18	27466.68
2023-03-19	27107.79
2023-03-20	28186.84
2023-03-21	27929.17
2023-03-22	28264.24
2023-03-23	27449.25
2023-03-24	28459.74
2023-03-25	27595.49
2023-03-26	27670.20
2023-03-27	28048.47
2023-03-28	27182.30
2023-03-29	27291.35
2023-03-30	28395.00
2023-03-31	28041.12
2023-04-01	28516.78
2023-04-02	28498.94
2023-04-03	28236.51
2023-04-04	27815.43
2023-04-05	28175.33
2023-04-06	28197.20
2023-04-07	28042.98
2023-04-08	27934.44
2023-04-09	27968.13
2023-04-10	28351.24
2023-04-11	29657.97
2023-04-12	30260.94
2023-04-13	29904.14
2023-04-14	30405.03
2023-04-15	30468.41
2023-04-16	30312.16
2023-04-17	30304.81
2023-04-18	29467.46
