date	price
2024-01-01	2279.94
2024-01-02	2350.03
2024-01-03	2360.78
2024-01-04	2211.17
2024-01-05	2270.98
2024-01-06	2267.09
2024-01-07	2241.51
2024-01-08	2220.15
2024-01-09	2331.66
2024-01-10	2341.16
2024-01-11	2588.77
2024-01-12	2618.33
2024-01-13	2524.50
2024-01-14	2575.92
2024-01-15	2477.94
2024-01-16	2515.32
2024-01-17	2589.48
2024-01-18	2528.33
2024-01-19	2467.33
2024-01-20	2489.62
2024-01-21	2470.26
2024-01-22	2454.91
2024-01-23	2307.59
2024-01-24	2241.94
2024-01-25	2236.74
2024-01-26	2219.61
2024-01-27	2268.87
2024-01-28	2267.91
2024-01-29	2257.05
2024-01-30	2314.59
2024-01-31	2344.00
2024-02-01	2282.49
2024-02-02	2301.74
2024-02-03	2307.43
2024-02-04	2294.72
2024-02-05	2290.08
2024-02-06	2298.67
2024-02-07	2372.76
2024-02-08	2424.07
2024-02-09	2420.97
2024-02-10	2487.85
2024-02-11	2499.49
2024-02-12	2505.08
2024-02-13	2657.99
2024-02-14	2641.54
2024-02-15	2780.37
2024-02-16	2826.82
2024-02-17	2807.37
2024-02-18	2788.56
2024-02-19	2874.95
2024-02-20	2943.72
2024-02-21	3015.44
2024-02-22	2977.08
2024-02-23	2974.13
2024-02-24	2926.29
2024-02-25	2988.32
2024-02-26	3113.41
2024-02-27	3173.63
2024-02-28	3242.05
2024-02-29	3380.80
2024-03-01	3347.69
2024-03-02	3431.75
2024-03-03	3421.89
2024-03-04	3487.19
2024-03-05	3634.31
2024-03-06	3581.53
2024-03-07	3822.37
2024-03-08	3861.90
2024-03-09	3893.61
2024-03-10	3916.04
2024-03-11	3887.47
2024-03-12	4070.60
2024-03-13	3978.69
2024-03-14	4007.91
2024-03-15	3879.04
2024-03-16	3738.38
2024-03-17	3514.22
2024-03-18	3643.28
2024-03-19	3525.89
2024-03-20	3171.29
2024-03-21	3515.69
2024-03-22	3493.43
2024-03-23	3322.89
2024-03-24	3353.37
2024-03-25	3454.26
2024-03-26	3588.49
2024-03-27	3591.55
2024-03-28	3505.22
2024-03-29	3560.26
2024-03-30	3516.10
2024-03-31	3507.66
2024-04-01	3644.77
2024-04-02	3508.25
2024-04-03	3274.90
2024-04-04	3316.68
2024-04-05	3332.09
2024-04-06	3320.28
2024-04-07	3362.84
2024-04-08	3453.44
2024-04-09	3695.24
2024-04-10	3503.65
2024-04-11	3539.76
2024-04-12	3508.58
2024-04-13	3245.50
2024-04-14	3022.01
2024-04-15	3157.68
2024-04-16	3101.19
2024-04-17	3083.71
2024-04-18	2982.62
2024-04-19	3064.91
2024-04-20	3065.68
2024-04-21	3152.19
2024-04-22	3147.14
2024-04-23	3199.77
2024-04-24	3218.97
2024-04-25	3138.81
2024-04-26	3157.62
2024-04-27	3131.42
2024-04-28	3259.25
2024-04-29	3259.50
2024-04-30	3213.69
2024-05-01	3018.55
2024-05-02	2976.09
2024-05-03	2988.55
2024-05-04	3102.15
2024-05-05	3115.02
2024-05-06	3136.58
2024-05-07	3064.59
2024-05-08	3015.16
2024-05-09	2975.73
2024-05-10	3038.34
2024-05-11	2910.68
2024-05-12	2908.98
2024-05-13	2931.31
2024-05-14	2948.30
2024-05-15	2881.80
2024-05-16	3035.76
2024-05-17	2943.59
2024-05-18	3096.00
2024-05-19	3120.55
2024-05-20	3071.32
2024-05-21	3656.39
2024-05-22	3792.49
2024-05-23	3741.90
2024-05-24	3766.40
2024-05-25	3727.07
2024-05-26	3750.08
2024-05-27	3825.28
2024-05-28	3893.39
2024-05-29	3840.69
2024-05-30	3765.30
2024-05-31	3748.64
2024-06-01	3761.07
2024-06-02	3813.45
2024-06-03	3780.71
2024-06-04	3766.64
2024-06-05	3814.93
2024-06-06	3871.08
2024-06-07	3812.70
2024-06-08	3679.38
2024-06-09	3683.03
2024-06-10	3705.90
2024-06-11	3666.83
2024-06-12	3498.56
2024-06-13	3559.45
2024-06-14	3465.32
2024-06-15	3478.77
2024-06-16	3565.12
2024-06-17	3618.51
2024-06-18	3510.36
2024-06-19	3480.47
2024-06-20	3555.97
2024-06-21	3511.28
2024-06-22	3516.88
2024-06-23	3494.80
2024-06-24	3417.80
2024-06-25	3357.10
2024-06-26	3395.30
2024-06-27	3365.94
2024-06-28	3442.91
2024-06-29	3374.61
2024-06-30	3371.28
2024-07-01	3435.32
2024-07-02	3438.01
2024-07-03	3417.90
2024-07-04	3295.81
2024-07-05	3069.04
2024-07-06	2984.40
2024-07-07	3066.25
2024-07-08	2928.60
2024-07-09	3016.08
2024-07-10	3064.09
2024-07-11	3099.71
2024-07-12	3102.09
2024-07-13	3132.98
2024-07-14	3173.50
2024-07-15	3252.65
2024-07-16	3488.54
2024-07-17	3446.77
2024-07-18	3389.44
2024-07-19	3428.55
2024-07-20	3505.22
2024-07-21	3522.80
2024-07-22	3533.12
2024-07-23	3443.07
2024-07-24	3482.98
