date	price
2023-01-01	4.9480
2023-01-02	4.9284
2023-01-03	4.9324
2023-01-04	4.9313
2023-01-05	4.9299
2023-01-06	4.9281
2023-01-07	4.9282
2023-01-08	4.9461
2023-01-09	4.9319
2023-01-10	4.9345
2023-01-11	4.9407
2023-01-12	4.9430
2023-01-13	4.9470
2023-01-14	4.9466
2023-01-15	4.9417
2023-01-16	4.9322
2023-01-17	4.9331
2023-01-18	4.9377
2023-01-19	4.9222
2023-01-20	4.9173
2023-01-21	4.9174
2023-01-22	4.9365
2023-01-23	4.9158
2023-01-24	4.9150
2023-01-25	4.8970
2023-01-26	4.8757
2023-01-27	4.8987
2023-01-28	4.8989
2023-01-29	4.9004
2023-01-30	4.9130
2023-01-31	4.9196
2023-02-01	4.9114
2023-02-02	4.9049
2023-02-03	4.8925
2023-02-04	4.8934
2023-02-05	4.8969
2023-02-06	4.8968
2023-02-07	4.8931
2023-02-08	4.8963
2023-02-09	4.8916
2023-02-10	4.9004
2023-02-11	4.9004
2023-02-12	4.8991
2023-02-13	4.8998
2023-02-14	4.9007
2023-02-15	4.8991
2023-02-16	4.8974
2023-02-17	4.9126
2023-02-18	4.9126
2023-02-19	4.9152
2023-02-20	4.9170
2023-02-21	4.9205
2023-02-22	4.9160
2023-02-23	4.9165
2023-02-24	4.9278
2023-02-25	4.9246
2023-02-26	4.9221
2023-02-27	4.9290
2023-02-28	4.9258
2023-03-01	4.9205
2023-03-02	4.9245
2023-03-03	4.9262
2023-03-04	4.9262
2023-03-05	4.9237
2023-03-06	4.9188
2023-03-07	4.9184
2023-03-08	4.9119
2023-03-09	4.9134
2023-03-10	4.9175
2023-03-11	4.9160
2023-03-12	4.9159
2023-03-13	4.9207
2023-03-14	4.9226
2023-03-15	4.9160
2023-03-16	4.9183
2023-03-17	4.9362
2023-03-18	4.9398
2023-03-19	4.9236
2023-03-20	4.9228
2023-03-21	4.9226
2023-03-22	4.9196
2023-03-23	4.9246
2023-03-24	4.9320
2023-03-25	4.9320
2023-03-26	4.9298
2023-03-27	4.9438
2023-03-28	4.9509
2023-03-29	4.9556
2023-03-30	4.9529
2023-03-31	4.9517
2023-04-01	4.9517
2023-04-02	4.9481
2023-04-03	4.9386
2023-04-04	4.9314
2023-04-05	4.9335
2023-04-06	4.9379
2023-04-07	4.9489
2023-04-08	4.9449
2023-04-09	4.9351
2023-04-10	4.9308
2023-04-11	4.9359
2023-04-12	4.9381
2023-04-13	4.9376
2023-04-14	4.9587
2023-04-15	4.9585
2023-04-16	4.9421
2023-04-17	4.9392
2023-04-18	4.9371
2023-04-19	4.9295
2023-04-20	4.9316
2023-04-21	4.9517
2023-04-22	4.9517
2023-04-23	4.9303
2023-04-24	4.9331
2023-04-25	4.9363
2023-04-26	4.9402
2023-04-27	4.9381
2023-04-28	4.9460
2023-04-29	4.9461
2023-04-30	4.9273
2023-05-01	4.9256
2023-05-02	4.9323
2023-05-03	4.9283
2023-05-04	4.9285
2023-05-05	4.9552
2023-05-06	4.9556
2023-05-07	4.9272
2023-05-08	4.9227
2023-05-09	4.9202
2023-05-10	4.9248
2023-05-11	4.9284
2023-05-12	4.9432
2023-05-13	4.9428
2023-05-14	4.9285
2023-05-15	4.9402
2023-05-16	4.9492
2023-05-17	4.9618
2023-05-18	4.9755
2023-05-19	4.9805
2023-05-20	4.9791
2023-05-21	4.9793
2023-05-22	4.9716
2023-05-23	4.9744
2023-05-24	4.9630
2023-05-25	4.9522
2023-05-26	4.9592
2023-05-27	4.9592
2023-05-28	4.9600
2023-05-29	4.9612
2023-05-30	4.9669
2023-05-31	4.9606
2023-06-01	4.9669
2023-06-02	4.9655
2023-06-03	4.9655
2023-06-04	4.9655
2023-06-05	4.9640
2023-06-06	4.9612
2023-06-07	4.9601
2023-06-08	4.9539
2023-06-09	4.9564
2023-06-10	4.9571
2023-06-11	4.9489
2023-06-12	4.9562
2023-06-13	4.9623
2023-06-14	4.9553
2023-06-15	4.9609
2023-06-16	4.9609
2023-06-17	4.9609
2023-06-18	4.9583
2023-06-19	4.9616
2023-06-20	4.9634
2023-06-21	4.9630
2023-06-22	4.9637
2023-06-23	4.9589
2023-06-24	4.9590
2023-06-25	4.9587
2023-06-26	4.9552
2023-06-27	4.9603
2023-06-28	4.9620
2023-06-29	4.9650
2023-06-30	4.9598
2023-07-01	4.9598
2023-07-02	4.9597
2023-07-03	4.9538
2023-07-04	4.9523
2023-07-05	4.9497
2023-07-06	4.9536
2023-07-07	4.9473
2023-07-08	4.9474
2023-07-09	4.9479
2023-07-10	4.9487
2023-07-11	4.9499
2023-07-12	4.9479
2023-07-13	4.9366
2023-07-14	4.9375
2023-07-15	4.9365
2023-07-16	4.9347
2023-07-17	4.9401
2023-07-18	4.9419
2023-07-19	4.9383
2023-07-20	4.9299
2023-07-21	4.9374
2023-07-22	4.9368
2023-07-23	4.9351
2023-07-24	4.9186
2023-07-25	4.9256
2023-07-26	4.9249
2023-07-27	4.9276
2023-07-28	4.9352
2023-07-29	4.9352
2023-07-30	4.9347
2023-07-31	4.9329
2023-08-01	4.9312
2023-08-02	4.9350
2023-08-03	4.9478
2023-08-04	4.9489
2023-08-05	4.9489
2023-08-06	4.9477
2023-08-07	4.9494
2023-08-08	4.9492
2023-08-09	4.9460
2023-08-10	4.9419
2023-08-11	4.9405
2023-08-12	4.9405
2023-08-13	4.9384
2023-08-14	4.9411
2023-08-15	4.9395
2023-08-16	4.9355
2023-08-17	4.9435
2023-08-18	4.9474
2023-08-19	4.9474
2023-08-20	4.9456
2023-08-21	4.9381
2023-08-22	4.9365
2023-08-23	4.9375
2023-08-24	4.9376
2023-08-25	4.9361
2023-08-26	4.9362
2023-08-27	4.9373
2023-08-28	4.9386
2023-08-29	4.9403
2023-08-30	4.9409
2023-08-31	4.9410
2023-09-01	4.9482
2023-09-02	4.9482
2023-09-03	4.9477
2023-09-04	4.9457
2023-09-05	4.9564
2023-09-06	4.9625
2023-09-07	4.9653
2023-09-08	4.9640
2023-09-09	4.9640
2023-09-10	4.9659
2023-09-11	4.9617
2023-09-12	4.9732
2023-09-13	4.9710
2023-09-14	4.9697
2023-09-15	4.9710
2023-09-16	4.9710
2023-09-17	4.9688
2023-09-18	4.9686
2023-09-19	4.9700
2023-09-20	4.9712
2023-09-21	4.9706
2023-09-22	4.9708
2023-09-23	4.9708
2023-09-24	4.9669
2023-09-25	4.9672
2023-09-26	4.9720
2023-09-27	4.9750
2023-09-28	4.9743
2023-09-29	4.9760
2023-09-30	4.9760
2023-10-01	4.9557
2023-10-02	4.9741
2023-10-03	4.9752
2023-10-04	4.9745
