date	price
2024-01-01	1.1037
2024-01-02	1.0942
2024-01-03	1.0926
2024-01-04	1.0947
2024-01-05	1.0946
2024-01-06	1.0946
2024-01-07	1.0941
2024-01-08	1.0950
2024-01-09	1.0931
2024-01-10	1.0974
2024-01-11	1.0982
2024-01-12	1.0955
2024-01-13	1.0955
2024-01-14	1.0955
2024-01-15	1.0945
2024-01-16	1.0879
2024-01-17	1.0885
2024-01-18	1.0879
2024-01-19	1.0900
2024-01-20	1.0900
2024-01-21	1.0892
2024-01-22	1.0878
2024-01-23	1.0858
2024-01-24	1.0882
2024-01-25	1.0847
2024-01-26	1.0857
2024-01-27	1.0857
2024-01-28	1.0843
2024-01-29	1.0834
2024-01-30	1.0843
2024-01-31	1.0805
2024-02-01	1.0874
2024-02-02	1.0790
2024-02-03	1.0790
2024-02-04	1.0779
2024-02-05	1.0742
2024-02-06	1.0756
2024-02-07	1.0776
2024-02-08	1.0777
2024-02-09	1.0785
2024-02-10	1.0785
2024-02-11	1.0797
2024-02-12	1.0772
2024-02-13	1.0709
2024-02-14	1.0732
2024-02-15	1.0773
2024-02-16	1.0777
2024-02-17	1.0777
2024-02-18	1.0784
2024-02-19	1.0775
2024-02-20	1.0811
2024-02-21	1.0820
2024-02-22	1.0825
2024-02-23	1.0824
2024-02-24	1.0824
2024-02-25	1.0819
2024-02-26	1.0851
2024-02-27	1.0841
2024-02-28	1.0839
2024-02-29	1.0805
2024-03-01	1.0841
2024-03-02	1.0841
2024-03-03	1.0841
2024-03-04	1.0854
2024-03-05	1.0856
2024-03-06	1.0898
2024-03-07	1.0950
2024-03-08	1.0940
2024-03-09	1.0940
2024-03-10	1.0943
2024-03-11	1.0930
2024-03-12	1.0927
2024-03-13	1.0953
2024-03-14	1.0883
2024-03-15	1.0889
2024-03-16	1.0889
2024-03-17	1.0883
2024-03-18	1.0873
2024-03-19	1.0862
2024-03-20	1.0937
2024-03-21	1.0862
2024-03-22	1.0824
2024-03-23	1.0824
2024-03-24	1.0808
2024-03-25	1.0837
2024-03-26	1.0832
2024-03-27	1.0813
2024-03-28	1.0791
2024-03-29	1.0796
2024-03-30	1.0796
2024-03-31	1.0793
2024-04-01	1.0737
2024-04-02	1.0768
2024-04-03	1.0838
2024-04-04	1.0837
2024-04-05	1.0839
2024-04-06	1.0839
2024-04-07	1.0830
2024-04-08	1.0863
2024-04-09	1.0859
2024-04-10	1.0741
2024-04-11	1.0726
2024-04-12	1.0648
2024-04-13	1.0648
2024-04-14	1.0647
2024-04-15	1.0626
2024-04-16	1.0621
2024-04-17	1.0669
2024-04-18	1.0643
2024-04-19	1.0658
2024-04-20	1.0658
2024-04-21	1.0658
2024-04-22	1.0654
2024-04-23	1.0703
2024-04-24	1.0699
2024-04-25	1.0727
2024-04-26	1.0694
2024-04-27	1.0695
2024-04-28	1.0707
2024-04-29	1.0715
2024-04-30	1.0666
2024-05-01	1.0718
2024-05-02	1.0730
2024-05-03	1.0764
2024-05-04	1.0764
2024-05-05	1.0759
2024-05-06	1.0768
2024-05-07	1.0751
2024-05-08	1.0747
2024-05-09	1.0782
2024-05-10	1.0774
2024-05-11	1.0774
2024-05-12	1.0770
2024-05-13	1.0793
2024-05-14	1.0814
2024-05-15	1.0889
2024-05-16	1.0867
2024-05-17	1.0874
2024-05-18	1.0874
2024-05-19	1.0873
2024-05-20	1.0860
2024-05-21	1.0855
2024-05-22	1.0825
2024-05-23	1.0813
2024-05-24	1.0849
2024-05-25	1.0847
2024-05-26	1.0847
2024-05-27	1.0861
2024-05-28	1.0852
2024-05-29	1.0801
2024-05-30	1.0831
2024-05-31	1.0850
2024-06-01	1.0849
2024-06-02	1.0853
2024-06-03	1.0907
2024-06-04	1.0881
2024-06-05	1.0874
2024-06-06	1.0892
2024-06-07	1.0803
2024-06-08	1.0803
2024-06-09	1.0778
2024-06-10	1.0763
2024-06-11	1.0740
2024-06-12	1.0791
2024-06-13	1.0738
2024-06-14	1.0709
2024-06-15	1.0707
2024-06-16	1.0702
2024-06-17	1.0740
2024-06-18	1.0740
2024-06-19	1.0747
2024-06-20	1.0706
2024-06-21	1.0693
2024-06-22	1.0693
2024-06-23	1.0688
2024-06-24	1.0732
2024-06-25	1.0709
2024-06-26	1.0680
2024-06-27	1.0708
2024-06-28	1.0716
2024-06-29	1.0716
2024-06-30	1.0735
2024-07-01	1.0736
2024-07-02	1.0748
2024-07-03	1.0791
2024-07-04	1.0810
2024-07-05	1.0841
2024-07-06	1.0839
2024-07-07	1.0827
2024-07-08	1.0831
2024-07-09	1.0814
2024-07-10	1.0833
2024-07-11	1.0873
2024-07-12	1.0912
2024-07-13	1.0912
2024-07-14	1.0886
2024-07-15	1.0898
2024-07-16	1.0902
2024-07-17	1.0940
2024-07-18	1.0901
2024-07-19	1.0885
2024-07-20	1.0884
2024-07-21	1.0900
2024-07-22	1.0890
2024-07-23	1.0850
2024-07-24	1.0838
2024-07-25	1.0851
2024-07-26	1.0862
2024-07-27	1.0862
2024-07-28	1.0853
2024-07-29	1.0819
2024-07-30	1.0816
2024-07-31	1.0824
2024-08-01	1.0787
2024-08-02	1.0913
2024-08-03	1.0912
2024-08-04	1.0910
2024-08-05	1.0951
2024-08-06	1.0925
2024-08-07	1.0928
2024-08-08	1.0915
2024-08-09	1.0918
2024-08-10	1.0919
2024-08-11	1.0913
2024-08-12	1.0936
2024-08-13	1.0996
2024-08-14	1.1011
2024-08-15	1.0974
2024-08-16	1.1029
2024-08-17	1.1029
2024-08-18	1.1024
2024-08-19	1.1085
2024-08-20	1.1128
2024-08-21	1.1155
2024-08-22	1.1117
2024-08-23	1.1195
2024-08-24	1.1192
2024-08-25	1.1188
2024-08-26	1.1165
2024-08-27	1.1177
2024-08-28	1.1124
2024-08-29	1.1080
2024-08-30	1.1052
2024-08-31	1.1052
2024-09-01	1.1045
2024-09-02	1.1067
2024-09-03	1.1049
2024-09-04	1.1081
2024-09-05	1.1111
2024-09-06	1.1087
2024-09-07	1.1087
2024-09-08	1.1087
2024-09-09	1.1035
2024-09-10	1.1020
2024-09-11	1.1010
2024-09-12	1.1078
2024-09-13	1.1080
2024-09-14	1.1078
2024-09-15	1.1087
2024-09-16	1.1129
2024-09-17	1.1123
2024-09-18	1.1114
2024-09-19	1.1159
2024-09-20	1.1167
2024-09-21	1.1165
2024-09-22	1.1161
2024-09-23	1.1111
2024-09-24	1.1190
2024-09-25	1.1130
2024-09-26	1.1176
2024-09-27	1.1166
2024-09-28	1.1166
2024-09-29	1.1169
2024-09-30	1.1136
2024-10-01	1.1064
2024-10-02	1.1046
2024-10-03	1.1035
2024-10-04	1.0977
2024-10-05	1.0978
2024-10-06	1.0971
2024-10-07	1.0975
2024-10-08	1.0975
2024-10-09	1.0941
2024-10-10	1.0933
2024-10-11	1.0939
2024-10-12	1.0939
2024-10-13	1.0930
2024-10-14	1.0909
2024-10-15	1.0883
2024-10-16	1.0859
2024-10-17	1.0829
2024-10-18	1.0869
2024-10-19	1.0869
2024-10-20	1.0868
2024-10-21	1.0815
2024-10-22	1.0796
2024-10-23	1.0780
2024-10-24	1.0825
2024-10-25	1.0797
2024-10-26	1.0797
2024-10-27	1.0795
2024-10-28	1.0816
2024-10-29	1.0819
2024-10-30	1.0858
2024-10-31	1.0884
2024-11-01	1.0846
2024-11-02	1.0847
2024-11-03	1.0874
2024-11-04	1.0874
2024-11-05	1.0932
2024-11-06	1.0731
2024-11-07	1.0795
2024-11-08	1.0719
2024-11-09	1.0719
2024-11-10	1.0714
2024-11-11	1.0663
2024-11-12	1.0616
2024-11-13	1.0565
2024-11-14	1.0529
2024-11-15	1.0539
2024-11-16	1.0539
2024-11-17	1.0535
2024-11-18	1.0595
2024-11-19	1.0607
2024-11-20	1.0546
2024-11-21	1.0468
2024-11-22	1.0418
2024-11-23	1.0418
2024-11-24	1.0479
2024-11-25	1.0448
2024-11-26	1.0492
2024-11-27	1.0562
2024-11-28	1.0560
2024-11-29	1.0577
2024-11-30	1.0577
2024-12-01	1.0545
2024-12-02	1.0501
2024-12-03	1.0510
2024-12-04	1.0512
2024-12-05	1.0586
2024-12-06	1.0567
2024-12-07	1.0567
2024-12-08	1.0565
2024-12-09	1.0555
2024-12-10	1.0531
2024-12-11	1.0506
2024-12-12	1.0474
2024-12-13	1.0503
2024-12-14	1.0503
2024-12-15	1.0509
2024-12-16	1.0517
2024-12-17	1.0495
2024-12-18	1.0349
2024-12-19	1.0364
2024-12-20	1.0429
2024-12-21	1.0429
2024-12-22	1.0433
2024-12-23	1.0405
2024-12-24	1.0400
2024-12-25	1.0399
2024-12-26	1.0422
2024-12-27	1.0425
2024-12-28	1.0425
2024-12-29	1.0429
2024-12-30	1.0406
2024-12-31	1.0356
