date	price
2020-01-01	1.3261
2020-01-02	1.3250
2020-01-03	1.3147
2020-01-04	1.3080
2020-01-05	1.3080
2020-01-06	1.3078
2020-01-07	1.3171
2020-01-08	1.3113
2020-01-09	1.3105
2020-01-10	1.3068
2020-01-11	1.3063
2020-01-12	1.3063
2020-01-13	1.3044
2020-01-14	1.2987
2020-01-15	1.3021
2020-01-16	1.3040
2020-01-17	1.3078
2020-01-18	1.3009
2020-01-19	1.3009
2020-01-20	1.3007
2020-01-21	1.3004
2020-01-22	1.3045
2020-01-23	1.3144
2020-01-24	1.3119
2020-01-25	1.3071
2020-01-26	1.3071
2020-01-27	1.3062
2020-01-28	1.3060
2020-01-29	1.3023
2020-01-30	1.3021
2020-01-31	1.3085
2020-02-01	1.3206
2020-02-02	1.3206
2020-02-03	1.3182
2020-02-04	1.2997
2020-02-05	1.3031
2020-02-06	1.2996
2020-02-07	1.2931
2020-02-08	1.2885
2020-02-09	1.2885
2020-02-10	1.2891
2020-02-11	1.2916
2020-02-12	1.2956
2020-02-13	1.2957
2020-02-14	1.3045
2020-02-15	1.3047
2020-02-16	1.3047
2020-02-17	1.3052
2020-02-18	1.3006
2020-02-19	1.2999
2020-02-20	1.2926
2020-02-21	1.2882
2020-02-22	1.2959
2020-02-23	1.2959
2020-02-24	1.2952
2020-02-25	1.2926
2020-02-26	1.3002
2020-02-27	1.2905
2020-02-28	1.2887
2020-02-29	1.2822
2020-03-01	1.2822
2020-03-02	1.2806
2020-03-03	1.2767
2020-03-04	1.2819
2020-03-05	1.2872
2020-03-06	1.2949
2020-03-07	1.3049
2020-03-08	1.3049
2020-03-09	1.3095
2020-03-10	1.3073
2020-03-11	1.2909
2020-03-12	1.2818
2020-03-13	1.2569
2020-03-14	1.2278
2020-03-15	1.2278
2020-03-16	1.2394
2020-03-17	1.2265
2020-03-18	1.2120
2020-03-19	1.1622
2020-03-20	1.1492
2020-03-21	1.1645
2020-03-22	1.1645
2020-03-23	1.1622
2020-03-24	1.1597
2020-03-25	1.1790
2020-03-26	1.1850
2020-03-27	1.2197
2020-03-28	1.2456
2020-03-29	1.2456
2020-03-30	1.2452
2020-03-31	1.2371
2020-04-01	1.2407
2020-04-02	1.2380
2020-04-03	1.2395
2020-04-04	1.2268
2020-04-05	1.2268
2020-04-06	1.2218
2020-04-07	1.2241
2020-04-08	1.2339
2020-04-09	1.2392
2020-04-10	1.2455
2020-04-11	1.2454
2020-04-12	1.2454
2020-04-13	1.2461
2020-04-14	1.2524
2020-04-15	1.2625
2020-04-16	1.2521
2020-04-17	1.2486
2020-04-18	1.2499
2020-04-19	1.2499
2020-04-20	1.2486
2020-04-21	1.2442
2020-04-22	1.2299
2020-04-23	1.2322
2020-04-24	1.2352
2020-04-25	1.2367
2020-04-26	1.2367
2020-04-27	1.2366
2020-04-28	1.2422
2020-04-29	1.2435
2020-04-30	1.2471
2020-05-01	1.2580
2020-05-02	1.2496
2020-05-03	1.2496
2020-05-04	1.2454
2020-05-05	1.2445
2020-05-06	1.2441
2020-05-07	1.2324
2020-05-08	1.2374
2020-05-09	1.2407
2020-05-10	1.2407
2020-05-11	1.2416
2020-05-12	1.2331
2020-05-13	1.2253
2020-05-14	1.2241
2020-05-15	1.2233
2020-05-16	1.2105
2020-05-17	1.2105
2020-05-18	1.2087
2020-05-19	1.2198
2020-05-20	1.2255
2020-05-21	1.2237
2020-05-22	1.2224
2020-05-23	1.2176
2020-05-24	1.2176
2020-05-25	1.2186
2020-05-26	1.2200
2020-05-27	1.2332
2020-05-28	1.2265
2020-05-29	1.2321
2020-05-30	1.2348
2020-05-31	1.2348
2020-06-01	1.2347
2020-06-02	1.2485
2020-06-03	1.2580
2020-06-04	1.2575
2020-06-05	1.2608
2020-06-06	1.2667
2020-06-07	1.2667
2020-06-08	1.2725
2020-06-09	1.2735
2020-06-10	1.2710
2020-06-11	1.2712
2020-06-12	1.2576
2020-06-13	1.2541
2020-06-14	1.2541
2020-06-15	1.2509
2020-06-16	1.2638
2020-06-17	1.2582
2020-06-18	1.2553
2020-06-19	1.2426
2020-06-20	1.2352
2020-06-21	1.2352
2020-06-22	1.2347
2020-06-23	1.2501
2020-06-24	1.2525
2020-06-25	1.2413
2020-06-26	1.2424
2020-06-27	1.2336
2020-06-28	1.2336
2020-06-29	1.2323
2020-06-30	1.2268
2020-07-01	1.2369
2020-07-02	1.2470
2020-07-03	1.2470
2020-07-04	1.2483
2020-07-05	0.8213
2020-07-06	1.2477
2020-07-07	1.2494
2020-07-08	1.2539
2020-07-09	1.2610
2020-07-10	1.2604
2020-07-11	1.2623
2020-07-12	1.2623
2020-07-13	1.2626
2020-07-14	1.2550
2020-07-15	1.2564
2020-07-16	1.2557
2020-07-17	1.2568
2020-07-18	1.2568
2020-07-19	1.2563
2020-07-20	1.2647
2020-07-21	1.2661
2020-07-22	1.2731
2020-07-23	1.2732
2020-07-24	1.2734
2020-07-25	1.2791
2020-07-26	1.2791
2020-07-27	1.2799
2020-07-28	1.2932
2020-07-29	1.3001
2020-07-30	1.3091
2020-07-31	1.3084
2020-08-01	1.3084
2020-08-02	1.3080
2020-08-03	1.3074
2020-08-04	1.3065
2020-08-05	1.3116
2020-08-06	1.3142
2020-08-07	1.3048
2020-08-08	1.3048
2020-08-09	1.3060
2020-08-10	1.3072
2020-08-11	1.3053
2020-08-12	1.3031
2020-08-13	1.3063
2020-08-14	1.3086
2020-08-15	1.3086
2020-08-16	1.3098
2020-08-17	1.3103
2020-08-18	1.3243
2020-08-19	1.3110
2020-08-20	1.3215
2020-08-21	1.3089
2020-08-22	1.3089
2020-08-23	1.3089
2020-08-24	1.3065
2020-08-25	1.3148
2020-08-26	1.3208
2020-08-27	1.3200
2020-08-28	1.3351
2020-08-29	1.3351
2020-08-30	1.3348
2020-08-31	1.3371
2020-09-01	1.3380
2020-09-02	1.3351
2020-09-03	1.3277
2020-09-04	1.3280
2020-09-05	1.3280
2020-09-06	1.3261
2020-09-07	1.3163
2020-09-08	1.2977
2020-09-09	1.2997
2020-09-10	1.2802
2020-09-11	1.2796
2020-09-12	1.2796
2020-09-13	1.2799
2020-09-14	1.2849
2020-09-15	1.2890
2020-09-16	1.2967
2020-09-17	1.2972
2020-09-18	1.2917
2020-09-19	1.2917
2020-09-20	1.2930
2020-09-21	1.2814
2020-09-22	1.2734
2020-09-23	1.2723
2020-09-24	1.2750
2020-09-25	1.2744
2020-09-26	1.2744
2020-09-27	1.2765
2020-09-28	1.2839
2020-09-29	1.2858
2020-09-30	1.2920
2020-10-01	1.2887
2020-10-02	1.2933
2020-10-03	1.2933
2020-10-04	1.2923
2020-10-05	1.2977
2020-10-06	1.2875
2020-10-07	1.2918
2020-10-08	1.2930
2020-10-09	1.3048
2020-10-10	1.3048
2020-10-11	1.3028
2020-10-12	1.3065
2020-10-13	1.2933
2020-10-14	1.3012
2020-10-15	1.2905
2020-10-16	1.2915
2020-10-17	1.2915
2020-10-18	1.2910
2020-10-19	1.2945
2020-10-20	1.2943
2020-10-21	1.3146
2020-10-22	1.3082
2020-10-23	1.3045
2020-10-24	1.3045
2020-10-25	1.3242
2020-10-26	1.3024
2020-10-27	1.3055
2020-10-28	1.2990
2020-10-29	1.2925
2020-10-30	1.2947
2020-10-31	1.2945
2020-11-01	1.2933
2020-11-02	1.2915
2020-11-03	1.3068
2020-11-04	1.2972
2020-11-05	1.3151
2020-11-06	1.3156
2020-11-07	1.3156
2020-11-08	1.3139
2020-11-09	1.3196
2020-11-10	1.3262
2020-11-11	1.3224
2020-11-12	1.3121
2020-11-13	1.3195
2020-11-14	1.3195
2020-11-15	1.3221
2020-11-16	1.3191
2020-11-17	1.3259
2020-11-18	1.3263
2020-11-19	1.3247
2020-11-20	1.3286
2020-11-21	1.3286
2020-11-22	1.3304
2020-11-23	1.3329
2020-11-24	1.3364
2020-11-25	1.3383
2020-11-26	1.3353
2020-11-27	1.3307
2020-11-28	1.3307
2020-11-29	1.3333
2020-11-30	1.3338
2020-12-01	1.3423
2020-12-02	1.3367
2020-12-03	1.3454
2020-12-04	1.3440
2020-12-05	1.3440
2020-12-06	1.3417
2020-12-07	1.3355
2020-12-08	1.3366
2020-12-09	1.3364
2020-12-10	1.3305
2020-12-11	1.3226
2020-12-12	1.3226
2020-12-13	1.3321
2020-12-14	1.3328
2020-12-15	1.3446
2020-12-16	1.3503
2020-12-17	1.3570
2020-12-18	1.3521
2020-12-19	1.3523
2020-12-20	1.3410
2020-12-21	1.3450
2020-12-22	1.3399
2020-12-23	1.3505
2020-12-24	1.3551
