date	price
2026-01-01	4.3347
2026-01-02	4.336
2026-01-03	4.336
2026-01-04	4.3476
2026-01-05	4.3445
2026-01-06	4.3544
2026-01-07	4.3569
2026-01-08	4.3649
2026-01-09	4.3735
2026-01-10	4.3735
2026-01-11	4.3766
2026-01-12	4.3626
2026-01-13	4.3729
2026-01-14	4.3701
2026-01-15	4.3844
2026-01-16	4.3874
2026-01-17	4.3874
2026-01-18	4.3793
2026-01-19	4.3751
2026-01-20	4.3429
2026-01-21	4.3652
2026-01-22	4.3326
2026-01-23	4.3079
2026-01-24	4.3079
2026-01-25	4.3152
2026-01-26	4.292
2026-01-27	4.2396
2026-01-28	4.2569
2026-01-29	4.2601
2026-01-30	4.3006
2026-01-31	4.3006
2026-02-01	4.2991
2026-02-02	4.3199
2026-02-03	4.3113
2026-02-04	4.3173
2026-02-05	4.3239
2026-02-06	4.31
2026-02-07	4.31
2026-02-08	4.3079
2026-02-09	4.2746
2026-02-10	4.2834
2026-02-11	4.285
2026-02-12	4.2902
2026-02-13	4.2902
2026-02-14	4.2902
2026-02-15	4.2922
2026-02-16	4.2997
2026-02-17	4.3006
2026-02-18	4.3214
2026-02-19	4.3309
2026-02-20	4.3275
2026-02-21	4.3275
2026-02-22	4.31
2026-02-23	4.3217
2026-02-24	4.3277
2026-02-25	4.311
2026-02-26	4.3155
2026-02-27	4.3111
2026-02-28	4.3111
2026-03-01	4.3309
2026-03-02	4.3573
2026-03-03	4.3904
2026-03-04	4.3785
2026-03-05	4.3856
2026-03-06	4.3822
2026-03-07	4.3822
2026-03-08	4.415
2026-03-09	4.3892
2026-03-10	4.3835
2026-03-11	4.4093
2026-03-12	4.4212
2026-03-13	4.4624
2026-03-14	4.4624
2026-03-15	4.456
2026-03-16	4.4307
2026-03-17	4.4147
2026-03-18	4.4412
2026-03-19	4.4014
2026-03-20	4.4031
2026-03-21	4.4031
2026-03-22	4.404
2026-03-23	4.3896
2026-03-24	4.3877
2026-03-25	4.4067
2026-03-26	4.418
2026-03-27	4.4281
2026-03-28	4.4281
2026-03-29	4.436
2026-03-30	4.4506
2026-03-31	4.4053
2026-04-01	4.3984
2026-04-02	4.4169
2026-04-03	4.4267
2026-04-04	4.4267
2026-04-05	4.427
2026-04-06	4.4169
2026-04-07	4.3613
2026-04-08	4.3698
2026-04-09	4.3566
2026-04-10	4.3423
2026-04-11	4.3423
2026-04-12	4.3595
2026-04-13	4.3254
2026-04-14	4.3147
2026-04-15	4.3121
2026-04-16	4.3257
2026-04-17	4.3334
2026-04-18	4.3334
2026-04-19	4.3408
2026-04-20	4.3272
2026-04-21	4.3403
2026-04-22	4.3486
2026-04-23	4.3577
2026-04-24	4.3417
2026-04-25	4.3417
2026-04-26	4.3454
2026-04-27	4.3403
2026-04-28	4.3495
2026-04-29	4.3661
2026-04-30	4.4317
2026-05-01	4.4417
